ConsigneePanjivaID,PortOfUnlading,dist
5003,46,1.0296519018177475
3756,51,1.1538948352681473
885,51,0.8904604733522449
4899,51,0.939616006399904
2996,62,1.0195489940898759
5674,44,1.2224233677344662
5453,63,1.2112570121618254
1496,44,1.1224474747266089
2817,8,1.1106988106455122
2851,51,1.0133176648191042
1123,31,1.057372238220913
3845,17,0.9846971215946334
1262,63,1.089796043932438
1378,16,1.0696212697241987
1618,53,1.013174377980509
2953,51,1.0496382026800088
3625,46,1.071261305095894
2701,8,1.1301715932786465
2363,63,1.115956041429724
2833,50,1.129962497922991
2805,50,1.1406179985829763
2881,34,0.9287134390324354
1614,6,0.8845363442919084
1591,17,1.0514695458114147
1890,44,1.0864942542144231
5779,51,1.1429475343653135
3757,51,1.0498982659940208
3053,51,1.0203770862093993
2568,44,1.1950665946517671
2693,63,1.1347741456702352
44,51,0.9515281426055091
2833,51,1.1308193456913744
2197,50,1.1385240240820818
5154,34,1.0786545548055853
4288,46,1.1520577284640499
5301,17,1.154007411029722
373,62,1.1070793004972594
2501,17,1.077604471572808
3442,44,0.9923479035496712
5782,53,1.1005927400380773
3840,56,1.13266680549298
8,31,0.9510747417807579
5367,17,1.1635040413987423
700,17,0.980846160557121
5224,10,1.1640792552913939
4581,6,1.1917650026402302
2856,50,1.1083817442080803
2882,46,1.1143502265747105
2634,50,1.1629691560353552
3776,63,1.2316840312310628
3094,44,1.1180444679089956
1137,17,1.1467580518552236
2191,44,1.1008904672094755
5762,34,0.884814721598689
1197,34,1.0075907095202379
1882,63,1.1255864804344518
1803,17,0.9958880040794611
3346,17,1.0794561452099256
1078,51,0.9411712331431252
5357,63,1.0607190462095397
5765,51,1.0359906160405703
2236,20,1.09956802587424
1675,53,1.031712515545743
1681,0,1.2681799232959747
587,62,1.0193201120543693
1180,62,1.019431903026998
2996,8,1.0072330820507236
5436,63,1.1058655700513296
5216,63,1.1737570642892803
1124,20,1.118169610255531
322,44,0.9647150412201881
