Carrier,ShipmentOrigin,dist
97,21,1.2169920376368932
48,14,1.164413068975721
3,109,1.234827646087589
580,55,1.269235607768808
343,46,1.177248413009303
227,76,1.243959757898535
105,60,1.2608025850994247
383,109,1.2528273867709296
446,38,1.2397974559238978
277,16,1.2895360180575932
328,62,1.164173563410129
475,53,1.2324931994080544
337,38,1.208936404969011
73,14,1.2026184488620077
329,106,1.224624328315258
538,49,1.2182538296495165
59,62,1.2110831939748354
582,109,1.2119607052632742
495,46,1.1732076002018792
579,46,1.206959815961974
145,98,1.2267126025898116
538,46,1.216802685388497
423,109,1.2309815995395184
100,60,1.2614875435829163
426,35,1.256492719054222
202,93,1.2368630386356796
51,21,1.2548548089606422
146,21,1.205892005669219
567,21,1.2246960422822408
486,21,1.2085188339863504
140,21,1.191619704610535
319,21,1.2188671103545599
528,92,1.239690403853144
29,21,1.2088185668523823
400,21,1.210814735719136
540,21,1.1665092698697532
82,31,1.2377656458743982
590,62,1.2117698692849703
580,37,1.294083225939955
562,56,1.2869711858885629
303,38,1.1997019397094846
586,58,1.2709981884275163
103,62,1.1981846072844096
586,18,1.2600653214114053
62,62,1.241072949554239
42,109,1.207866004269038
40,62,1.219967971955027
95,109,1.203444657315101
28,98,1.2645987384021282
540,46,1.1837357596627303
291,48,1.2229961061051913
418,75,1.1757399860237325
54,21,1.2184858854327882
465,92,1.2464271326150214
526,38,1.2327848656901292
329,77,1.2600527991141592
221,49,1.1904425450733729
399,46,1.2195083062563623
320,62,1.198905497789383
446,14,1.1958645901509695
306,109,1.1935722742761885
352,106,1.1689777649007738
79,59,1.2094857252335973
303,28,1.2571666166186333
61,46,1.210730757032122
275,98,1.2132730877825193
126,109,1.200324494923864
182,92,1.2446910185473306
225,1,1.1860611925699882
508,92,1.2250703477433749
260,98,1.2659684220062835
334,8,1.3227580961372172
406,48,1.2229499449687344
485,49,1.1918134284870965
470,68,1.2415412941149302
502,46,1.172525127152247
177,21,1.2005189902016096
442,21,1.2326005633388246
499,21,1.248505565736975
250,21,1.2116874210270387
113,21,1.2482828221150808
36,21,1.2604045969034945
105,53,1.1940836682915688
238,21,1.1850193701684475
29,62,1.2341502415282386
168,106,1.2146609840648515
586,10,1.2757849331412996
590,93,1.2447741468037878
168,20,1.2212670956339156
586,37,1.3058218599430151
413,62,1.203832348542554
306,98,1.19800423511437
457,106,1.2278051152825356
27,53,1.23777312412858
202,110,1.2645566484757833
389,98,1.2388170445337892
288,103,1.1937549174098032
105,62,1.2104034221598081
386,21,1.184996907200132
497,98,1.2134797722101212
23,48,1.2084132145558084
477,38,1.2468849260892187
375,62,1.2244403851883752
172,21,1.2403615968567985
241,11,1.3106329744415623
590,81,1.234324214713914
473,43,1.2396617702075414
375,49,1.216443515249661
410,46,1.2194289714097977
154,109,1.2231893773589815
168,63,1.295990233442613
586,35,1.2383319799389159
376,62,1.217933357826301
494,98,1.2296212283628327
73,109,1.2229551151394844
520,105,1.3001410077059907
241,10,1.2757049021976334
415,80,1.164456583559513
582,96,1.2576132251748018
26,21,1.215665923697608
363,21,1.2458278238773346
446,102,1.2894896444465433
240,55,1.239119185933045
334,103,1.2941655271819659
34,49,1.1844722170914923
306,62,1.1985236746924264
265,21,1.2672030542578017
446,53,1.2045286989637785
446,106,1.223657829420907
446,68,1.2498217225074768
228,106,1.1975939806018556
590,25,1.3017512347017015
138,109,1.2276216404778617
482,48,1.205526055368994
229,14,1.2227621674537659
