PortOfLading,ShipperPanjivaID,dist
114,3921,0.7898140996694565
222,4518,0.6838582488042968
246,6798,0.7709052658506802
77,2064,0.771944390011153
110,6785,0.9588730313948223
127,1009,0.7600986427028796
219,5822,0.7081499961870057
245,5482,0.7266224359295198
36,5241,0.8173014947346279
33,6030,0.7113436815728035
190,3807,0.8079065666534007
127,631,0.7313291441117015
170,4927,0.8426938919084412
245,1661,0.6966188209397453
97,5493,0.9185941229973521
126,1067,0.7046574029539313
248,2173,0.93161502307547
77,1277,0.8175050672143698
222,3131,0.7145272259201322
33,4164,0.9179655292204448
127,1216,1.039845289396388
135,247,0.9669092973428113
245,4029,0.9731332740879485
246,2971,0.9160133036784828
248,2242,0.7265576750838331
245,5283,0.9148855466129524
149,1009,0.7396383796419416
97,1805,0.7530945092439651
245,3614,0.7428996429911682
100,6694,0.9013691297732294
245,319,1.0128985097897905
241,2726,0.7564073992627007
219,1914,0.7919055446982384
126,4763,0.8242820815316269
12,2734,0.8214453160762787
170,1965,0.8168084685291562
115,6844,0.8230701677301633
245,6130,0.9570397539064288
149,1606,0.688778070466859
219,5453,0.9233223040189061
219,4309,0.6726506964436599
12,6912,0.8214356380381754
97,211,0.8009153942028726
77,2505,0.8060297673302037
222,4057,0.8410437937293734
248,425,0.7997099017458302
241,655,0.8312580191663334
248,2077,0.7823968870299203
245,1072,0.7401558182069233
238,6792,0.8288519797580582
59,5552,0.7302248886387263
87,2180,0.9474414491227695
48,2457,0.7930400925023215
222,1362,0.7449898874121053
127,3605,0.97933015865939
222,3283,0.7358645919178214
127,697,0.8138375702713218
222,4796,0.7364856425140586
93,3690,1.0057281950887824
91,1570,0.7351529376049127
185,6234,0.7627689735963941
138,401,0.7795327550598553
248,5798,0.9640763561640467
48,6563,0.9799078293144703
185,6500,0.9541163923484939
229,2581,0.759820149413177
149,1620,0.9330026885228497
54,6171,0.7869698253593275
170,6249,0.877909678965807
48,4886,1.1216226270688432
133,1815,0.7238806106948427
127,70,0.8931697543178286
170,6201,0.8015781679589834
114,6640,0.7714314992938723
245,5490,0.8577054786895003
133,1746,0.8874477382217135
97,1764,0.8591409526499254
222,1390,0.7518093522105899
238,3037,0.8185930337224688
170,1090,1.0213550180196762
12,5241,0.7901436792952674
54,2855,0.7499523311853409
127,6067,0.7924733566386359
221,6669,0.7862418602619853
115,3359,0.7415869981050491
174,4259,0.740103145662163
222,414,1.1702594852873258
115,4157,0.757242596575192
245,1153,0.8463978437440736
162,2482,0.9807991930948836
188,3921,0.8665801659226418
54,3435,0.8467015661299229
158,5790,0.8327105468405145
248,587,0.954978518720184
185,147,0.6910197974315712
138,4215,0.7753273355109351
111,6341,0.9218521213957241
133,6694,0.9489554251943316
133,409,0.9637737444468907
48,5759,0.7842237452776837
111,4358,0.9644849300384521
91,4852,0.8105760835377234
188,1144,0.869361711665988
48,2676,0.8170029387942382
139,3331,0.9306650885513851
69,6115,0.9608611414608147
167,5224,0.7821395567485264
219,131,0.7906922389354024
229,1209,0.9271031622774899
245,3086,0.7646096056061131
129,3796,0.9300906551735741
138,5213,0.7881391389029366
245,1570,0.7273164609713214
222,3918,0.9844509384461811
222,4806,0.8091343699821404
