ShipmentDestination,ShipmentOrigin,dist
38,94,1.1623889527150564
4,28,1.1548446672303336
27,99,1.1934472865292005
91,79,1.1668734172625201
100,16,1.1847467912094933
22,97,1.1653628035315446
38,109,1.1601669703211104
82,61,1.1504037635666984
115,94,1.1645372627036912
58,99,1.2460099602384227
38,8,1.1575541474989481
4,45,1.1537506019563548
27,46,1.191765128501824
102,1,1.1497496689802833
83,78,1.1849571189710073
38,106,1.1754899541182178
81,101,1.1337430564952748
97,62,1.1782744005322456
37,73,1.1766645567757743
13,99,1.21332981969629
4,94,1.1491008917135852
46,62,1.2005181067756243
22,99,1.1897948485399996
100,43,1.1903242644454752
18,104,1.1485537333147866
97,101,1.1454959591584546
38,58,1.1409180499613285
4,88,1.176264934840479
0,36,1.14308277623994
81,94,1.1576257539646966
59,50,1.1512367190527064
99,1,1.1335382826094116
83,34,1.1427039398279573
115,76,1.1724003739655018
22,36,1.14090499867286
35,110,1.2034559920430183
79,70,1.1795928925275803
12,52,1.1856671875076634
81,52,1.1774406201605285
115,30,1.1596973368099757
88,107,1.1816550480933594
38,60,1.1952040195465088
104,45,1.1761803307703562
18,28,1.1692322056208337
83,93,1.166112983333213
4,46,1.175496977354799
14,18,1.217239205525922
46,99,1.2212443559297494
52,99,1.1992375499435834
18,93,1.178199882486037
18,26,1.1569697526948792
104,101,1.1429000683794064
38,99,1.1931288476501192
115,83,1.1689013657825333
9,60,1.1953741950648171
64,102,1.169477179646492
38,92,1.171981233571257
27,43,1.184699353895017
18,4,1.1541879602840968
18,99,1.1945612302848272
104,28,1.1611162429409367
0,61,1.1438130299959863
8,62,1.2067891923444611
83,79,1.1498959834321536
113,93,1.1718469937331975
40,52,1.174473426969988
18,73,1.1874894419951099
103,36,1.1725328362413816
24,46,1.1905450661267554
116,45,1.1640174021678311
46,60,1.2007788238780839
88,62,1.1734672747552395
75,106,1.2038326819560357
13,66,1.1705191603728704
83,85,1.1528938770560282
91,99,1.202797987631389
60,99,1.2164015280348914
59,94,1.1539581598980087
22,27,1.1607088739318507
89,52,1.183300957017179
42,97,1.176726868642228
38,70,1.1517424753734045
97,45,1.173212434564318
37,4,1.1423035876027174
115,82,1.163795096533639
100,50,1.1688550002872944
81,3,1.1413221231528692
4,101,1.12603198823386
14,110,1.2015192870582854
27,88,1.1892271329249655
91,62,1.184809328189918
105,107,1.1983409087572778
116,19,1.1617378438157695
0,62,1.1635708335254873
59,42,1.1575404559927327
52,50,1.1741056579298206
4,1,1.1302068046560245
82,60,1.176177432494504
79,62,1.208063191069024
81,70,1.1452643131571156
116,52,1.1802428758570127
18,3,1.1483412299837386
91,106,1.1843442020139523
9,78,1.1996471770107746
89,65,1.1934849686388458
59,99,1.1826133621590478
37,71,1.1552817523479462
54,43,1.1991832575627737
98,99,1.2461310859237398
70,73,1.1600368499223674
37,1,1.1329983068364007
79,46,1.2321662221636092
22,107,1.177394753754405
51,46,1.1913931029183524
59,62,1.1662885387028967
105,110,1.2040328617606844
76,107,1.221058254795415
91,56,1.1626095755824022
91,66,1.1711211907012122
42,36,1.1588979555027825
