ConsigneePanjivaID,ShipmentOrigin,dist
3180,18,0.852502415222781
5320,18,0.7350991649020996
1469,110,1.0324812313275678
382,82,0.9735024039234433
5772,18,0.8836106173694134
2338,93,0.8923870609308194
485,18,0.8597756006887981
2426,18,1.1469736419218992
1419,18,0.8750398806961519
5513,18,0.8886274684752736
1075,110,0.9302803884659495
2314,18,0.7623469467673983
5316,18,0.9603460989892483
2168,18,0.892717973462173
4445,18,0.9390901667731149
1453,18,1.0822721844805139
1635,18,0.8454736028132694
5839,18,1.1639715156384878
5341,18,0.9171028323471546
1808,18,0.8889007549732924
3182,18,0.9204322466892856
4273,18,1.0296718845410007
2993,18,1.2208878858281034
5737,16,1.0628676638007164
4810,18,0.9274349904486111
2302,70,1.0001083707569964
2742,18,0.9160130380519799
5292,18,1.0737753494842244
2098,110,1.0732497040714537
4824,12,0.9879064806071776
